         3881116 function calls (3838170 primitive calls) in 165.909 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    0.076    0.001    0.143    0.002 destroyhandler.py:672(orderings)
      122    0.075    0.001    0.086    0.001 {method 'readlines' of '_io._IOBase' objects}
     3765    0.074    0.000    0.074    0.000 type.py:243(dtype_specs)
      155    0.071    0.000    0.073    0.000 mmalobj.py:1468(__setitem__)
    40185    0.070    0.000    0.100    0.000 utils.py:189(<genexpr>)
    22136    0.068    0.000    0.128    0.000 {method 'extend' of 'list' objects}
      477    0.067    0.000    0.067    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      345    0.066    0.000    5.605    0.016 opt.py:2102(apply)
  487/354    0.066    0.000    1.266    0.004 opt.py:7088(local_fuse)
     1630    0.065    0.000    0.106    0.000 opt.py:2085(local_useless_elemwise)
       31    0.064    0.002    0.065    0.002 {built-in method _pickle.dump}
    39864    0.063    0.000    0.063    0.000 {method 'startswith' of 'str' objects}
21019/21006    0.063    0.000    2.154    0.000 configparser.py:322(__get__)
     7514    0.062    0.000    0.113    0.000 numeric.py:534(asanyarray)
     2943    0.059    0.000    0.604    0.000 utils.py:72(add_tag_trace)
    50194    0.058    0.000    0.187    0.000 {method 'get' of 'dict' objects}
    15868    0.058    0.000    0.176    0.000 linecache.py:37(getlines)
      774    0.058    0.000    0.239    0.000 params_type.py:222(__init__)
   1480/3    0.057    0.000   52.696   17.565 <frozen importlib._bootstrap>:966(_find_and_load)
    35913    0.056    0.000    0.058    0.000 graph.py:1050(<genexpr>)
    37510    0.056    0.000    0.078    0.000 {method 'setdefault' of 'dict' objects}
       10    0.056    0.006    0.056    0.006 blind_spot.py:181(apply_threshold)
    12032    0.056    0.000    0.056    0.000 {method 'format' of 'str' objects}
    19334    0.055    0.000    0.059    0.000 basic.py:1085(__eq__)
1616/1041    0.055    0.000    0.107    0.000 basic.py:397(get_scalar_constant_value)
   1053/4    0.055    0.000   52.690   13.172 <frozen importlib._bootstrap>:659(_load_unlocked)
     2446    0.055    0.000    0.081    0.000 ordered_set.py:87(__init__)
    22274    0.054    0.000    0.054    0.000 ordered_set.py:148(__iter__)
     1982    0.054    0.000    0.564    0.000 graph.py:211(clone_with_new_inputs)
      847    0.054    0.000    0.054    0.000 {method 'read' of '_io.FileIO' objects}
      840    0.054    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:427(_validate_bytecode_header)
    24690    0.052    0.000    0.080    0.000 posixpath.py:39(_get_sep)
     6065    0.052    0.000    0.053    0.000 {method '__reduce_ex__' of 'object' objects}
     2362    0.051    0.000    0.051    0.000 {built-in method _hashlib.openssl_sha256}
     1500    0.050    0.000    0.089    0.000 shape_base.py:63(atleast_2d)
    40992    0.049    0.000    0.139    0.000 {built-in method builtins.all}
      847    0.048    0.000    1.101    0.001 <frozen importlib._bootstrap_external>:737(get_code)
     1694    0.048    0.000    0.126    0.000 <frozen importlib._bootstrap_external>:254(cache_from_source)
     2102    0.048    0.000    0.095    0.000 var.py:939(_get_no_nan)
6383/3805    0.048    0.000    7.523    0.002 <frozen importlib._bootstrap>:996(_handle_fromlist)
