         3881116 function calls (3838170 primitive calls) in 165.909 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.001    0.000    0.001    0.000 sre_compile.py:391(_generate_overlap_table)
        3    0.001    0.000    0.010    0.003 camera.py:2005(_configure_camera)
       25    0.001    0.000    0.078    0.003 sharedvalue.py:110(set_value)
        1    0.001    0.001    0.001    0.001 optdb.py:300(SequenceDB)
       10    0.001    0.000    0.001    0.000 link.py:714(gc_helper)
       38    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
      178    0.001    0.000    0.001    0.000 cc.py:962(<listcomp>)
      135    0.001    0.000    0.001    0.000 basic.py:3940(<listcomp>)
      171    0.001    0.000    0.001    0.000 cc.py:1630(<listcomp>)
    62/33    0.001    0.000    0.005    0.000 blas.py:1111(_beta_L_plus_alpha_M)
      124    0.001    0.000    0.001    0.000 pyparsing.py:2131(__str__)
       31    0.001    0.000    0.010    0.000 params_type.py:185(__eq__)
      216    0.001    0.000    0.001    0.000 basic.py:499(c_support_code)
       51    0.001    0.000    0.002    0.000 _internal.py:703(_ufunc_doc_signature_formatter)
       25    0.001    0.000    0.003    0.000 opt.py:2192(in2out)
        3    0.001    0.000    0.004    0.001 util.py:1(<module>)
       39    0.001    0.000    0.001    0.000 fractions.py:84(__new__)
       90    0.001    0.000    0.003    0.000 contextlib.py:134(helper)
      281    0.001    0.000    0.001    0.000 pyparsing.py:2634(<genexpr>)
        1    0.001    0.001    1.191    1.191 stats.py:156(<module>)
        1    0.001    0.001    3.421    3.421 __init__.py:23(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:772(RcParams)
       43    0.001    0.000    0.003    0.000 getlimits.py:376(__new__)
        2    0.001    0.000    0.001    0.001 blas.py:1864(c_code)
       22    0.001    0.000    0.001    0.000 getlimits.py:507(__init__)
        4    0.001    0.000    6.448    1.612 rng_mrg.py:813(uniform)
       49    0.001    0.000    0.006    0.000 subtensor.py:400(get_constant_idx)
      130    0.001    0.000    0.003    0.000 mmal.py:65(MMAL_FOURCC)
       25    0.001    0.000    0.001    0.000 rcsetup.py:62(<dictcomp>)
        1    0.001    0.001    0.798    0.798 interpolate.py:2(<module>)
      503    0.001    0.000    0.001    0.000 {built-in method _sre.getlower}
        1    0.001    0.001    0.355    0.355 add_newdocs.py:10(<module>)
      113    0.001    0.000    0.001    0.000 opt.py:1928(__init__)
       14    0.001    0.000    0.002    0.000 selectors.py:346(__init__)
       88    0.001    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
      613    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
        1    0.001    0.001    0.072    0.072 mmalobj.py:34(<module>)
        3    0.001    0.000    0.002    0.001 getlimits.py:409(_init)
       31    0.001    0.000    0.003    0.000 params_type.py:504(c_headers)
     55/8    0.001    0.000    0.003    0.000 gradient.py:937(visit)
        1    0.001    0.001    0.103    0.103 cmodule.py:4(<module>)
       14    0.001    0.000    0.001    0.000 selectors.py:208(__init__)
       44    0.001    0.000    0.001    0.000 warnings.py:388(__exit__)
        1    0.001    0.001    0.009    0.009 subtensor.py:1(<module>)
      213    0.001    0.000    0.001    0.000 elemwise.py:204(<listcomp>)
       31    0.001    0.000    0.001    0.000 type.py:421(values_eq)
      180    0.001    0.000    0.001    0.000 cmodule.py:2170(<listcomp>)
       12    0.001    0.000    0.001    0.000 type.py:996(__setattr__)
        6    0.001    0.000    0.014    0.002 basic.py:1761(grad)
      144    0.001    0.000    0.001    0.000 mmalobj.py:700(outputs)
        1    0.001    0.001    0.193    0.193 __init__.py:236(<module>)
       31    0.001    0.000    0.001    0.000 params_type.py:607(<listcomp>)
        1    0.001    0.001    0.001    0.001 pyparsing.py:301(ParseResults)
       86    0.001    0.000    0.002    0.000 pyparsing.py:3417(<genexpr>)
       50    0.001    0.000    0.004    0.000 fromnumeric.py:1837(product)
       28    0.001    0.000    0.001    0.000 pyparsing.py:2720(__str__)
       62    0.001    0.000    0.025    0.000 elemwise.py:595(as_scalar)
       20    0.001    0.000    0.018    0.001 elemwise.py:1782(make_node)
      165    0.001    0.000    0.001    0.000 opt.py:1265(local_optimizer)
        4    0.001    0.000    0.006    0.001 type.py:931(__init__)
        4    0.001    0.000   15.054    3.764 topology.py:527(__call__)
        5    0.001    0.000    0.286    0.057 __init__.py:2(<module>)
       17    0.001    0.000    0.002    0.000 function_base.py:1152(asarray_chkfinite)
       31    0.001    0.000    0.001    0.000 opt.py:5479(local_sum_prod_all_to_none)
       20    0.001    0.000    0.001    0.000 elemwise.py:1226(__init__)
        1    0.001    0.001    0.001    0.001 basic.py:3293(Tan)
       50    0.001    0.000    0.001    0.000 blas.py:1268(_factor_canonicalized)
      257    0.001    0.000    0.001    0.000 inspect.py:72(isclass)
     36/6    0.001    0.000    0.002    0.000 printing.py:539(process)
       24    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
    36/28    0.001    0.000    0.103    0.004 opt.py:4753(merge_num_denum)
        1    0.001    0.001    0.046    0.046 opt.py:5(<module>)
       49    0.001    0.000    0.002    0.000 op.py:861(rval)
        1    0.001    0.001    0.041    0.041 opt.py:3(<module>)
      373    0.001    0.000    0.001    0.000 toolbox.py:597(validate)
      135    0.001    0.000    0.001    0.000 basic.py:3970(<listcomp>)
       70    0.001    0.000    0.005    0.000 graph.py:1364(describe)
        1    0.001    0.001    0.027    0.027 misc_util.py:1(<module>)
       11    0.001    0.000    0.020    0.002 decorator.py:201(create)
       12    0.001    0.000    0.040    0.003 basic.py:1613(makeKeepDims)
        1    0.001    0.001    0.018    0.018 colors.py:45(<module>)
      203    0.001    0.000    0.001    0.000 cc.py:1650(<genexpr>)
     19/3    0.001    0.000   15.076    5.025 generic_utils.py:115(deserialize_keras_object)
       20    0.001    0.000    0.001    0.000 graph.py:727(<listcomp>)
        1    0.001    0.001    0.001    0.001 format.py:149(<module>)
      237    0.001    0.000    0.001    0.000 scan_opt.py:1903(scan_merge_inouts)
        1    0.001    0.001    0.001    0.001 csv.py:79(DictReader)
       89    0.001    0.000    0.001    0.000 opt.py:2284(merge_dict)
       10    0.001    0.000    0.001    0.000 scan_opt.py:225(<listcomp>)
       20    0.001    0.000    0.004    0.000 basic.py:899(<listcomp>)
      111    0.001    0.000    0.019    0.000 var.py:905(theano_hash)
    70/21    0.001    0.000    0.003    0.000 basic.py:3889(<listcomp>)
      153    0.001    0.000    0.001    0.000 opt.py:2267(on_import)
      182    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      270    0.001    0.000    0.001    0.000 basic.py:3808(<genexpr>)
        1    0.001    0.001    0.005    0.005 colorlabel.py:1(<module>)
       22    0.001    0.000    0.024    0.001 pyparsing.py:1024(extract_stack)
       10    0.001    0.000    0.001    0.000 blind_spot.py:277(<listcomp>)
       10    0.001    0.000    0.001    0.000 scan_opt.py:432(<listcomp>)
      168    0.001    0.000    0.001    0.000 pyparsing.py:3248(<genexpr>)
       46    0.001    0.000    0.005    0.000 graph.py:1109(default_node_formatter)
       49    0.001    0.000    0.001    0.000 warnings.py:78(_add_filter)
       79    0.001    0.000    0.001    0.000 elemwise.py:538(<listcomp>)
      240    0.001    0.000    0.001    0.000 opt.py:1851(on_detach)
       21    0.001    0.000    0.060    0.003 toolbox.py:384(revert)
      188    0.001    0.000    0.001    0.000 elemwise.py:150(<listcomp>)
       10    0.001    0.000    0.002    0.000 elemwise.py:1566(c_code_cache_version_apply)
      407    0.001    0.000    0.001    0.000 basic.py:234(<listcomp>)
       68    0.001    0.000    0.001    0.000 ipaddress.py:1251(__init__)
       10    0.001    0.000    0.001    0.000 scan_opt.py:679(<listcomp>)
      133    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
        1    0.001    0.001    2.755    2.755 scan_opt.py:51(<module>)
       58    0.001    0.000    0.001    0.000 basic.py:913(__init__)
        1    0.001    0.001    0.008    0.008 blas.py:184(<module>)
      141    0.001    0.000    0.001    0.000 opt.py:2475(importer)
       47    0.001    0.000    0.221    0.005 var.py:151(__mul__)
        1    0.001    0.001    0.001    0.001 os.py:44(<listcomp>)
       31    0.001    0.000    0.002    0.000 params_type.py:546(c_init_code)
      239    0.001    0.000    0.001    0.000 basic.py:4037(<genexpr>)
        7    0.001    0.000    0.004    0.001 blas.py:854(make_node)
       10    0.001    0.000    0.001    0.000 scan_opt.py:2085(<listcomp>)
        2    0.001    0.000    0.001    0.000 windows.py:1(<module>)
      118    0.001    0.000    0.001    0.000 blas_scipy.py:64(make_ger_destructive)
        1    0.001    0.001    0.001    0.001 mixins.py:1(<module>)
       36    0.001    0.000    0.001    0.000 configparser.py:131(__exit__)
        6    0.001    0.000    0.002    0.000 getlimits.py:65(__init__)
       26    0.001    0.000    0.003    0.000 deprecation.py:197(finalize)
       41    0.001    0.000    0.001    0.000 io.py:163(__init__)
      186    0.001    0.000    0.004    0.000 type.py:376(c_element_type)
       84    0.001    0.000    0.001    0.000 blas.py:1098(_is_real_matrix)
      137    0.001    0.000    0.001    0.000 pyparsing.py:2039(setWhitespaceChars)
        1    0.001    0.001    0.081    0.081 __init__.py:220(<module>)
       74    0.001    0.000    0.001    0.000 posixpath.py:222(expanduser)
      195    0.001    0.000    0.001    0.000 basic.py:1221(__eq__)
       41    0.001    0.000    0.133    0.003 var.py:126(__add__)
      133    0.001    0.000    0.001    0.000 opt.py:891(<listcomp>)
        1    0.001    0.001    0.002    0.002 _continuous_distns.py:1842(frechet_l_gen)
       70    0.001    0.000    0.011    0.000 colors.py:104(is_color_like)
      269    0.001    0.000    0.001    0.000 sre_compile.py:101(fixup)
       70    0.001    0.000    0.001    0.000 rcsetup.py:64(__call__)
        7    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:106(_write_atomic)
        5    0.001    0.000    4.863    0.973 rng_mrg.py:41(multMatVect)
        1    0.001    0.001    0.002    0.002 _continuous_distns.py:1738(frechet_r_gen)
        1    0.001    0.001    0.001    0.001 <string>:5(_LoggingWatcher)
        1    0.001    0.001    0.001    0.001 radau.py:1(<module>)
      172    0.001    0.000    0.001    0.000 cc.py:562(__init__)
       40    0.001    0.000    0.008    0.000 __init__.py:1775(getLogger)
      123    0.001    0.000    0.001    0.000 graph.py:589(merge_signature)
        1    0.001    0.001    0.017    0.017 function_module.py:4(<module>)
        1    0.001    0.001    0.019    0.019 elemwise.py:1(<module>)
        1    0.001    0.001    0.007    0.007 basic_scipy.py:1(<module>)
        7    0.001    0.000    0.018    0.003 cmodule.py:1606(std_include_dirs)
       40    0.001    0.000    0.473    0.012 cc.py:1495(get_src_code)
       24    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.arange}
        7    0.001    0.000    0.013    0.002 basic.py:1879(div_proxy)
       13    0.001    0.000    0.048    0.004 _distn_infrastructure.py:2718(_construct_docstrings)
       25    0.001    0.000    0.002    0.000 arrayprint.py:381(wrapper)
       53    0.001    0.000    0.001    0.000 pyparsing.py:186(__init__)
       28    0.001    0.000    0.002    0.000 selectors.py:360(unregister)
        1    0.001    0.001    0.186    0.186 cc.py:4(<module>)
       34    0.001    0.000    0.006    0.000 sigm.py:525(partition_num_or_denom)
        1    0.001    0.001    0.001    0.001 _continuous_distns.py:1988(genpareto_gen)
       25    0.001    0.000    0.014    0.001 opt.py:413(register_useless)
      168    0.001    0.000    0.001    0.000 opt.py:2051(<listcomp>)
       10    0.001    0.000   25.006    2.501 link.py:696(make_thunk)
        1    0.001    0.001    0.001    0.001 topology.py:1488(__init__)
       40    0.001    0.000    0.001    0.000 opt.py:197(__init__)
    33/10    0.001    0.000    0.074    0.007 pyparsing.py:3721(leaveWhitespace)
        1    0.001    0.001    0.008    0.008 arpack.py:7(<module>)
       68    0.001    0.000    0.004    0.000 elemwise.py:1155(<listcomp>)
        1    0.001    0.001    0.017    0.017 optimize.py:17(<module>)
       24    0.001    0.000    0.001    0.000 configdefaults.py:759(split_version)
       11    0.001    0.000    0.001    0.000 decorator.py:151(update)
       15    0.001    0.000    0.001    0.000 getlimits.py:71(<lambda>)
    34/26    0.001    0.000    0.003    0.000 pyparsing.py:3412(__str__)
       79    0.001    0.000    0.002    0.000 elemwise.py:533(connection_pattern)
       18    0.001    0.000    0.060    0.003 basic.py:3170(sum)
       27    0.001    0.000    0.002    0.000 core.py:940(__init__)
       45    0.001    0.000    0.001    0.000 pyparsing.py:1167(setName)
       36    0.001    0.000    0.001    0.000 gradient.py:1203(<listcomp>)
    65/32    0.001    0.000    0.003    0.000 opt.py:1798(<listcomp>)
        1    0.001    0.001    0.006    0.006 encoder.py:2(<module>)
       51    0.001    0.000    0.001    0.000 six.py:177(_add_module)
       14    0.001    0.000    0.003    0.000 tempfile.py:299(<listcomp>)
        1    0.001    0.001    0.014    0.014 basic.py:5(<module>)
        1    0.001    0.001    0.263    0.263 __init__.py:37(<module>)
       44    0.001    0.000    0.008    0.000 basic.py:842(upcast_out_nobool)
        1    0.001    0.001    0.001    0.001 optimizers.py:457(Adamax)
        1    0.001    0.001    0.002    0.002 numerictypes.py:301(_add_aliases)
        1    0.001    0.001    0.001    0.001 pyramids.py:1(<module>)
       71    0.001    0.000    0.001    0.000 type.py:62(c_literal)
        9    0.001    0.000    0.001    0.000 datetime.py:338(__new__)
      183    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
       40    0.001    0.000    0.001    0.000 cmodule.py:131(__init__)
        1    0.001    0.001    0.005    0.005 abstract_conv.py:3(<module>)
       15    0.001    0.000   16.046    1.070 interfaces.py:23(wrapper)
      209    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
       20    0.001    0.000    0.001    0.000 pyparsing.py:2685(parseImpl)
        1    0.001    0.001    0.021    0.021 nonlin.py:106(<module>)
        1    0.001    0.001    0.011    0.011 printing.py:5(<module>)
        2    0.001    0.000    0.095    0.048 __init__.py:10(<module>)
       54    0.001    0.000    0.001    0.000 base.py:109(_e)
        1    0.001    0.001    1.276    1.276 __init__.py:340(<module>)
        1    0.001    0.001    0.001    0.001 opt.py:2333(Assert)
       46    0.001    0.000    0.019    0.000 graph.py:1297(op_as_string)
      166    0.001    0.000    0.001    0.000 ipaddress.py:417(_check_int_address)
        1    0.001    0.001    0.005    0.005 gradient.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:262(_reset_cache)
        1    0.001    0.001    0.001    0.001 basic.py:2553(Nonzero)
       10    0.001    0.000    0.015    0.002 toolbox.py:295(on_attach)
        2    0.001    0.000    0.008    0.004 function_base.py:1(<module>)
        1    0.001    0.001    1.071    1.071 distributions.py:8(<module>)
      182    0.001    0.000    0.001    0.000 mmalobj.py:858(params)
      557    0.001    0.000    0.001    0.000 opt.py:1322(<lambda>)
       11    0.001    0.000    0.001    0.000 enum.py:99(<dictcomp>)
       21    0.001    0.000    0.001    0.000 configparser.py:404(StrParam)
        1    0.001    0.001    0.082    0.082 _discrete_distns.py:5(<module>)
       18    0.001    0.000    0.004    0.000 __init__.py:73(CFUNCTYPE)
       26    0.001    0.000    0.001    0.000 numerictypes.py:229(bitname)
        1    0.001    0.001    0.021    0.021 pyparsing.py:4853(_makeTags)
        1    0.001    0.001    0.019    0.019 fontconfig_pattern.py:77(__init__)
       72    0.001    0.000    0.001    0.000 {method 'translate' of 'bytearray' objects}
      198    0.001    0.000    0.001    0.000 opt.py:6371(<listcomp>)
        1    0.001    0.001    0.331    0.331 client.py:69(<module>)
      116    0.001    0.000    0.001    0.000 basic.py:914(<genexpr>)
       41    0.001    0.000    0.001    0.000 io.py:61(__init__)
        1    0.001    0.001    0.007    0.007 nlinalg.py:1(<module>)
       53    0.001    0.000    0.059    0.001 toolbox.py:336(__call__)
       10    0.001    0.000    0.001    0.000 scan_opt.py:1618(<listcomp>)
        1    0.001    0.001    0.001    0.001 colors.py:64(__init__)
       10    0.001    0.000    0.001    0.000 scan_opt.py:1846(<listcomp>)
        1    0.001    0.001    0.817    0.817 __init__.py:172(<module>)
       47    0.001    0.000    0.001    0.000 tokenize.py:387(find_cookie)
      133    0.001    0.000    0.001    0.000 opt.py:829(<listcomp>)
        1    0.001    0.001    0.951    0.951 __init__.py:127(<module>)
       44    0.001    0.000    0.001    0.000 utils.py:432(typename)
       88    0.000    0.000    0.001    0.000 _weakrefset.py:20(__enter__)
       33    0.000    0.000    0.001    0.000 sharedvar.py:13(sparse_constructor)
       47    0.000    0.000    0.001    0.000 ipaddress.py:158(_split_optional_netmask)
       29    0.000    0.000    0.001    0.000 basic.py:2240(c_code)
      171    0.000    0.000    0.000    0.000 op.py:831(<listcomp>)
      213    0.000    0.000    0.000    0.000 elemwise.py:200(<listcomp>)
       81    0.000    0.000    0.000    0.000 utils.py:69(__init__)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.139    0.139 op.py:7(<module>)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
      102    0.000    0.000    0.000    0.000 printing.py:449(__init__)
        2    0.000    0.000    0.001    0.000 cmodule.py:2017(join_options)
      121    0.000    0.000    0.000    0.000 mmalobj.py:1481(<lambda>)
        1    0.000    0.000    0.001    0.001 __init__.py:205(<listcomp>)
       71    0.000    0.000    0.032    0.000 graph.py:267(<lambda>)
        1    0.000    0.000    0.010    0.010 tokenize.py:21(<module>)
        1    0.000    0.000    0.081    0.081 training.py:579(compile)
     12/6    0.000    0.000    0.002    0.000 printing.py:361(process)
       60    0.000    0.000    0.000    0.000 {function PiArrayOutput.truncate at 0x75318738}
        1    0.000    0.000    0.924    0.924 filters.py:31(<module>)
       17    0.000    0.000    0.003    0.000 pyparsing.py:3518(__init__)
       42    0.000    0.000    0.001    0.000 opt.py:2094(__init__)
      223    0.000    0.000    0.000    0.000 opt.py:2271(on_change_input)
       44    0.000    0.000    0.001    0.000 six.py:105(__init__)
        1    0.000    0.000    0.005    0.005 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.001    0.001 mmalobj.py:663(close)
        1    0.000    0.000    0.006    0.006 blas_c.py:1(<module>)
        1    0.000    0.000    0.455    0.455 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 mmalobj.py:3212(MMALPythonComponent)
       61    0.000    0.000    0.003    0.000 graph.py:754(ops)
        1    0.000    0.000    0.008    0.008 ltisys.py:4(<module>)
       28    0.000    0.000    0.001    0.000 selectors.py:246(unregister)
       22    0.000    0.000    0.001    0.000 nosetester.py:152(__init__)
       47    0.000    0.000    0.000    0.000 cmodule.py:118(method_decl)
        1    0.000    0.000    0.148    0.148 type.py:6(<module>)
    28/21    0.000    0.000    0.001    0.000 graph.py:1387(view_roots)
        8    0.000    0.000    0.006    0.001 blas.py:1712(local_dot22_to_ger_or_gemv)
        1    0.000    0.000    0.050    0.050 configparser.py:4(<module>)
        1    0.000    0.000    0.043    0.043 mstats_basic.py:4(<module>)
       31    0.000    0.000    0.000    0.000 params_type.py:664(c_declare)
        1    0.000    0.000    0.011    0.011 extra_ops.py:1(<module>)
       31    0.000    0.000    0.001    0.000 params_type.py:285(__eq__)
       40    0.000    0.000    0.000    0.000 cc.py:239(<listcomp>)
       50    0.000    0.000    0.000    0.000 cmodule.py:873(<listcomp>)
       50    0.000    0.000    0.001    0.000 opt.py:5571(local_reduce_join)
        1    0.000    0.000    0.004    0.004 platform.py:314(_linux_distribution)
       31    0.000    0.000    0.014    0.000 graph.py:685(ancestors)
       86    0.000    0.000    0.000    0.000 rcsetup.py:159(validate_float)
        3    0.000    0.000    0.001    0.000 common.py:1(<module>)
      131    0.000    0.000    0.001    0.000 cmodule.py:182(add_include)
       14    0.000    0.000    0.004    0.000 tempfile.py:296(__next__)
       36    0.000    0.000    0.001    0.000 gradient.py:1048(<listcomp>)
       60    0.000    0.000    0.001    0.000 threading.py:249(_acquire_restore)
        9    0.000    0.000    0.002    0.000 optdb.py:170(__init__)
      180    0.000    0.000    0.000    0.000 cmodule.py:1899(<listcomp>)
       17    0.000    0.000    0.001    0.000 numerictypes.py:964(find_common_type)
        1    0.000    0.000    0.000    0.000 bcm_host.py:257(DISPLAY_INFO_T)
       11    0.000    0.000    0.001    0.000 enum.py:406(_find_new_)
        1    0.000    0.000    0.021    0.021 __init__.py:74(<module>)
       37    0.000    0.000    0.044    0.001 sharedvalue.py:87(get_value)
        1    0.000    0.000    0.125    0.125 __init__.py:110(<module>)
        1    0.000    0.000    0.155    0.155 link.py:4(<module>)
       10    0.000    0.000    0.000    0.000 blind_spot.py:188(draw_labeled_bboxes)
     23/7    0.000    0.000    0.006    0.001 pyparsing.py:3740(streamline)
       41    0.000    0.000    0.001    0.000 opt.py:5652(local_useless_reduce)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
      178    0.000    0.000    0.000    0.000 cc.py:977(<listcomp>)
       30    0.000    0.000    0.001    0.000 opt.py:5497(local_op_of_op)
        7    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        4    0.000    0.000    0.006    0.002 type.py:1162(__init__)
       28    0.000    0.000    0.001    0.000 ipaddress.py:1612(_make_netmask)
        1    0.000    0.000    0.055    0.055 _minimize.py:8(<module>)
      171    0.000    0.000    0.000    0.000 op.py:834(<listcomp>)
        1    0.000    0.000    0.001    0.001 _compat_pickle.py:9(<module>)
        5    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
        1    0.000    0.000    0.000    0.000 profile.py:1(<module>)
       49    0.000    0.000    0.003    0.000 subtensor.py:434(conv)
       40    0.000    0.000    0.000    0.000 cc.py:873(<listcomp>)
       14    0.000    0.000    0.001    0.000 basic.py:2319(__init__)
        1    0.000    0.000    0.001    0.001 data.py:7(<module>)
       44    0.000    0.000    0.000    0.000 warnings.py:350(__init__)
       36    0.000    0.000    0.001    0.000 theano_backend.py:114(_prepare_name)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
      258    0.000    0.000    0.000    0.000 opt.py:2274(reset)
      171    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray._get_ndarray_c_version}
       63    0.000    0.000    0.000    0.000 elemwise.py:1249(set_ufunc)
       46    0.000    0.000    0.001    0.000 opt.py:353(<listcomp>)
       36    0.000    0.000    0.001    0.000 gradient.py:1031(<listcomp>)
        1    0.000    0.000    0.028    0.028 morestats.py:1(<module>)
       25    0.000    0.000    0.003    0.000 pyparsing.py:3975(__init__)
      118    0.000    0.000    0.016    0.000 rng_mrg.py:1217(mrg_random_make_inplace)
        1    0.000    0.000    0.002    0.002 mimetypes.py:64(__init__)
      155    0.000    0.000    0.001    0.000 rcsetup.py:57(func)
       58    0.000    0.000    0.001    0.000 basic.py:1806(c_code)
        2    0.000    0.000    0.043    0.022 __init__.py:11(<module>)
      300    0.000    0.000    0.000    0.000 graph.py:625(<lambda>)
       21    0.000    0.000    0.070    0.003 basic.py:4122(__setstate__)
        4    0.000    0.000    0.005    0.001 theano_backend.py:156(constant)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3370(<genexpr>)
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.000    0.000    0.063    0.063 __init__.py:89(<module>)
      122    0.000    0.000    0.000    0.000 vm.py:1102(<listcomp>)
      415    0.000    0.000    0.000    0.000 op.py:812(prepare_node)
      171    0.000    0.000    0.000    0.000 cc.py:1632(<listcomp>)
        8    0.000    0.000    0.011    0.001 tempfile.py:484(mkdtemp)
        1    0.000    0.000    0.000    0.000 test_dataset_swmr.py:9(TestSwmrNotAvailable)
      178    0.000    0.000    0.000    0.000 cc.py:963(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:826(_DomainCheckInterval)
      114    0.000    0.000    0.000    0.000 opcode.py:41(def_op)
       31    0.000    0.000    0.000    0.000 op.py:1234(f)
       17    0.000    0.000    0.001    0.000 subprocess.py:1105(_get_handles)
        8    0.000    0.000    0.027    0.003 basic.py:3682(transpose)
        4    0.000    0.000    6.450    1.612 initializers.py:196(__call__)
       48    0.000    0.000    0.001    0.000 os.py:796(encode)
       19    0.000    0.000    0.001    0.000 copyreg.py:96(_slotnames)
      189    0.000    0.000    0.000    0.000 elemwise.py:248(<genexpr>)
      245    0.000    0.000    0.000    0.000 base.py:236(id)
      346    0.000    0.000    0.000    0.000 cc.py:1462(<genexpr>)
       23    0.000    0.000    0.020    0.001 blas.py:1072(_as_scalar)
        7    0.000    0.000    0.002    0.000 basic.py:1719(L_op)
       33    0.000    0.000    0.001    0.000 os.py:851(fsencode)
        1    0.000    0.000    0.022    0.022 lazylinker_c.py:1(<module>)
       15    0.000    0.000    0.001    0.000 optdb.py:19(__init__)
       53    0.000    0.000    0.001    0.000 pyparsing.py:3559(<genexpr>)
      143    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.010    0.010 transforms.py:30(<module>)
      258    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
       15    0.000    0.000    0.003    0.000 opt.py:1343(__str__)
       40    0.000    0.000    0.000    0.000 elemwise.py:1721(_output_dtype)
       48    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
       56    0.000    0.000    0.002    0.000 selectors.py:214(_fileobj_lookup)
      178    0.000    0.000    0.000    0.000 cc.py:1084(<listcomp>)
      102    0.000    0.000    0.000    0.000 pyparsing.py:2137(streamline)
      108    0.000    0.000    0.000    0.000 blas.py:1188(scaled)
        1    0.000    0.000    0.046    0.046 iterative.py:1(<module>)
       38    0.000    0.000    0.002    0.000 opt.py:2962(inherit_stack_trace)
      122    0.000    0.000    0.000    0.000 configparser.py:364(filter)
       10    0.000    0.000    0.005    0.000 function_module.py:83(infer_reuse_pattern)
        1    0.000    0.000    0.006    0.006 opt_uncanonicalize.py:32(<module>)
        2    0.000    0.000    0.002    0.001 type.py:1(<module>)
        2    0.000    0.000    0.013    0.006 base.py:1(<module>)
       25    0.000    0.000    0.002    0.000 rcsetup.py:52(__init__)
        1    0.000    0.000    0.008    0.008 datetime.py:5(<module>)
        2    0.000    0.000    0.010    0.005 io.py:1(<module>)
        8    0.000    0.000    0.001    0.000 topology.py:409(assert_input_compatibility)
       11    0.000    0.000    0.004    0.000 blas.py:1534(make_node)
      182    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       40    0.000    0.000    0.001    0.000 cc.py:904(<listcomp>)
       14    0.000    0.000    0.000    0.000 {built-in method h5py.h5t.py_create}
        7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:844(set_data)
       60    0.000    0.000    0.000    0.000 mmalobj.py:1760(__init__)
       49    0.000    0.000    0.001    0.000 opt.py:5705(local_opt_alloc)
        1    0.000    0.000    0.014    0.014 graph.py:3(<module>)
       10    0.000    0.000    0.024    0.002 function_base.py:1453(copy)
       12    0.000    0.000    0.002    0.000 configdefaults.py:766(warn_default)
    90/71    0.000    0.000    0.075    0.001 contextlib.py:57(__enter__)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4484(lomax_gen)
       68    0.000    0.000    0.001    0.000 op.py:1165(c_compile_args)
       31    0.000    0.000    0.001    0.000 ipaddress.py:1734(_parse_hextet)
        1    0.000    0.000    0.053    0.053 pilutil.py:7(<module>)
      192    0.000    0.000    0.001    0.000 op.py:846(<genexpr>)
      355    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       73    0.000    0.000    0.000    0.000 configdefaults.py:763(<genexpr>)
        1    0.000    0.000    0.013    0.013 ccompiler.py:4(<module>)
        1    0.000    0.000    0.000    0.000 topology.py:180(Layer)
       94    0.000    0.000    0.001    0.000 op.py:1070(get_debug_values)
        1    0.000    0.000    0.011    0.011 matfuncs.py:5(<module>)
       25    0.000    0.000    0.028    0.001 doccer.py:173(decorate)
      118    0.000    0.000    0.001    0.000 opt.py:178(local_inplace_addsd_ccode)
